key,source,context,changes,english
LAM,item_modifiers,Attribute,New,TA Laser Sight & Flashlight
CQBSS_ECOS,item_modifiers,Attribute,New,TA Rifle 4x Scope(Dot)
Leupold_CQBSS,item_modifiers,Attribute,New,TA Rifle/MG 8x Scope
ACOG_ECOS,item_modifiers,Attribute,New,TA MG 4x Scope(Cross)
ACOG_TA01,item_modifiers,Attribute,New,TA M4/M16 4x Scope(Dot)
ACOG_TA31,item_modifiers,Attribute,New,TA SMG/MG 4x Scope(Carrot)
AN/PVS22,item_modifiers,Attribute,New,TA Rifle 4x Scope(Cross)
EOTech_EXPS3,item_modifiers,Attribute,New,TA Standard Holographic
Aimpoint_CompM3,item_modifiers,Attribute,New,TA Standard 2x Scope(Circle)
Aimpoint_MicroT1,item_modifiers,Attribute,New,TA Trimmed 2x Scope(Circle)
Aimpoint_ACRO,item_modifiers,Attribute,New,TA Small Red Dot
